SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
53-3031,"Driver/Sales Workers",5.27744607261,5.33000547517,5.40246889396,0.0724634187827,0.0135953741737,0.000858811678934,17.6133889392,"High school diploma or equivalent",None,"Short-term on-the-job training"
35-2014,"Cooks, Restaurant",5.24392440981,5.37055856947,5.69827954035,0.327720970879,0.0610217664773,0.000853356616937,20.0648388803,"No formal educational credential","Less than 5 years","Moderate-term on-the-job training"
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",4.33948190752,4.42303600815,4.62848823775,0.205452229596,0.0464504989824,0.00070617448126,18.054,"No formal educational credential",None,"Short-term on-the-job training"
27-4021,Photographers,4.1928024331,4.28760404677,4.52901602536,0.241411978593,0.056304634467,0.000682304972417,21.3835772311,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
35-2021,"Food Preparation Workers",4.13457540461,4.23857422883,4.51496616207,0.276391933243,0.0652087042297,0.000672829545969,18.1707959321,"No formal educational credential",None,"Short-term on-the-job training"
39-6011,"Baggage Porters and Bellhops",4.08122913421,4.17897557698,4.41763873434,0.238663157359,0.0571104456014,0.000664148377197,17.5182158928,"High school diploma or equivalent",None,"Short-term on-the-job training"
35-1012,"First-Line Supervisors of Food Preparation and Serving Workers",4.07254551696,4.15351715156,4.33946217175,0.18594502019,0.0447680877206,0.000662735270969,24.111,"High school diploma or equivalent","Less than 5 years",None
47-2073,"Operating Engineers and Other Construction Equipment Operators",4.0082653035,4.04382351639,4.09674577427,0.0529222578852,0.013087182878,0.000652274794957,40.2825615093,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1255,"Web and Digital Interface Designers",3.89313202931,3.97174873676,4.15846224863,0.186713511871,0.047010403791,0.000633538876268,57.2871080263,"Bachelor's degree",None,None
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",3.8814533162,3.92631780438,4.00351513131,0.077197326923,0.019661507491,0.000631638370781,28.1436686129,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
17-1011,"Architects, Except Landscape and Naval",3.81010886787,3.85612540575,3.94003905463,0.0839136488786,0.0217611306815,0.00062002831459,42.5592751399,"Bachelor's degree",None,Internship/residency
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.8039641886,3.8140080509,3.78101600802,-0.0329920428815,-0.00865022895631,0.000619028375936,57.996,"Bachelor's degree",None,"Moderate-term on-the-job training"
53-6031,"Automotive and Watercraft Service Attendants",3.60208355807,3.77550037442,4.21386157676,0.438361202336,0.116106782906,0.000586175848243,19.8512003438,"No formal educational credential",None,"Short-term on-the-job training"
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",3.5909019353,3.67864840081,3.8989619486,0.220313547794,0.0598898083724,0.000584356235481,20.2490607094,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-2022,"Parts Salespersons",3.48742346911,3.55149464605,3.69556092412,0.144066278072,0.0405649712106,0.000567516932141,20.958013197,"No formal educational credential",None,"Moderate-term on-the-job training"
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.34337234925,3.43896729554,3.68455128894,0.245583993402,0.0714121340208,0.00054407514185,32.6546382236,"High school diploma or equivalent","Less than 5 years",None
41-9011,"Demonstrators and Product Promoters",3.31639203098,3.38290704099,3.54807969856,0.16517265757,0.0488256566228,0.000539684568813,16.9692943586,"No formal educational credential",None,"Short-term on-the-job training"
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",3.27527827734,3.32883347897,3.44548757836,0.116654099383,0.0350435370589,0.000532994027346,26.3557258904,"Associate's degree",None,None
53-3099,"Motor Vehicle Operators, All Other",3.25218603797,3.49163017164,4.1430838515,0.65145367986,0.186575796358,0.000529236170877,21.2958166358,"No formal educational credential",None,"Short-term on-the-job training"
35-9011,"Dining Room and Cafeteria Attendants and Bartender Helpers",3.24700243401,3.33168257403,3.5445536301,0.212871056069,0.0638929583892,0.000528392630353,18.252,"No formal educational credential",None,"Short-term on-the-job training"
41-3021,"Insurance Sales Agents",3.23933623243,3.28878549267,3.39254764564,0.103762152973,0.0315502951482,0.000527145090661,28.1142895271,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-5021,"Captains, Mates, and Pilots of Water Vessels",3.18625514461,3.23122196614,3.31024644425,0.0790244781178,0.024456530361,0.000518507075697,51.0907871804,"Postsecondary nondegree award","Less than 5 years",None
13-2052,"Personal Financial Advisors",3.09802797309,3.20325552817,3.51771013552,0.314454607346,0.09816719415,0.000504149652758,48.7440127866,"Bachelor's degree",None,"Long-term on-the-job training"
13-2099,"Financial Specialists, All Other",3.03033392671,3.08629241584,3.2068228393,0.12053042346,0.0390534684404,0.000493133635384,33.4565928702,"Bachelor's degree",None,None
43-9021,"Data Entry Keyers",2.91799549826,2.90900010967,2.76842424824,-0.140575861436,-0.0483244606862,0.000474852528762,19.9046492872,"High school diploma or equivalent",None,"Short-term on-the-job training"
21-1099,"Community and Social Service Specialists, All Other",2.87354472518,2.94123790814,3.12062919073,0.179391282591,0.0609917620383,0.000467618945978,27.612,"Bachelor's degree",None,None
47-2152,"Plumbers, Pipefitters, and Steamfitters",2.8658339572,2.94655067043,3.16735443099,0.220803760559,0.0749363527919,0.000466364153886,37.7951152909,"High school diploma or equivalent",None,Apprenticeship
17-2141,"Mechanical Engineers",2.86188952953,2.95479861452,3.22910528514,0.274306670624,0.0928343032503,0.000465722267545,51.4235412923,"Bachelor's degree",None,None
21-1093,"Social and Human Service Assistants",2.84041754012,2.90926851524,3.07073624037,0.16146772513,0.0555011420513,0.000462228078306,22.941,"High school diploma or equivalent",None,"Short-term on-the-job training"
