SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
39-2011,"Animal Trainers",15.353170166,15.7222663455,16.5017599303,0.77949358481,0.0495789581273,0.000955084802613,20.4589985046,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
35-9021,Dishwashers,15.0974036272,15.4057048362,16.235257967,0.829553130804,0.053847139071,0.000939174164512,17.082,"No formal educational credential",None,"Short-term on-the-job training"
25-3041,Tutors,14.8616889756,15.1995346496,16.154565148,0.955030498421,0.0628328774821,0.000924510907404,19.6676206215,"Bachelor's degree",None,None
43-3021,"Billing and Posting Clerks",14.7984862863,14.8971693229,14.9668007604,0.0696314374753,0.00467413882235,0.000920579215946,26.3100584616,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1255,"Web and Digital Interface Designers",14.6299468904,14.9338818966,15.789299892,0.855417995418,0.0572803509055,0.000910094774366,57.2871080263,"Bachelor's degree",None,None
27-3041,Editors,14.4641823047,14.7133759801,15.4550431403,0.741667160119,0.0504076808151,0.000899782947239,37.8259791761,"Bachelor's degree","Less than 5 years",None
39-4021,"Funeral Attendants",14.4496755802,14.7335950271,15.6665918255,0.932996798407,0.0633244497824,0.000898880517841,18.9904320067,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-2022,"Sales Managers",14.3456494026,14.6253510359,15.4976659394,0.872314903488,0.0596440318831,0.000892409292663,74.6685654049,"Bachelor's degree","Less than 5 years",None
27-1024,"Graphic Designers",14.2325786777,14.5105556473,15.3075168393,0.796961192025,0.0549228583245,0.00088537542736,35.8957855029,"Bachelor's degree",None,None
39-3019,"Gambling Service Workers, All Other",13.6318198178,13.9873003595,14.9594751509,0.972174791392,0.0695041048955,0.00084800362395,18.2982671804,"High school diploma or equivalent",None,"Short-term on-the-job training"
