SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
43-4061,"Eligibility Interviewers, Government Programs",428.293458584,430.644612928,435.504253904,4.8596409759,0.0112845739387,0.0042801904675,27.7546735529,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-1021,"General and Operations Managers",411.884421756,419.187526186,441.22235756,22.0348313741,0.0525655702941,0.00411620523354,61.6285042673,"Bachelor's degree","5 years or more",None
25-2052,"Special Education Teachers, Kindergarten and Elementary School",387.715992295,394.089653397,409.380289875,15.290636478,0.038799893238,0.00387467578842,45.8404985688,"Bachelor's degree",None,None
33-9032,"Security Guards",372.496782515,376.162714879,385.58382092,9.42110604157,0.0250452946795,0.00372258120161,21.1356930588,"High school diploma or equivalent",None,"Short-term on-the-job training"
15-1232,"Computer User Support Specialists",371.836971738,373.42097673,376.540826623,3.11984989345,0.00835477942555,0.00371598732131,32.2581553392,"Some college, no degree",None,None
33-1021,"First-Line Supervisors of Firefighting and Prevention Workers",370.323873217,376.467531131,392.558759856,16.0912287257,0.0427426733916,0.00370086603067,58.4667816288,"Postsecondary nondegree award","Less than 5 years","Moderate-term on-the-job training"
33-9099,"Protective Service Workers, All Other",364.32549924,367.119029041,373.88154349,6.76251444837,0.0184204955707,0.00364092072307,18.6058145502,"High school diploma or equivalent",None,"Short-term on-the-job training"
49-3031,"Bus and Truck Mechanics and Diesel Engine Specialists",357.006762603,361.950707557,378.281618664,16.3309111074,0.0451191578478,0.00356778024857,37.8052158727,"High school diploma or equivalent",None,"Long-term on-the-job training"
31-1131,"Nursing Assistants",355.525709697,359.964974333,369.057874318,9.09289998556,0.0252605131997,0.00355297920876,23.381730326,"Postsecondary nondegree award",None,None
25-9031,"Instructional Coordinators",351.230546095,354.544787693,362.505184001,7.96039630743,0.0224524420715,0.00351005509227,43.1740033238,"Master's degree","5 years or more",None
15-1211,"Computer Systems Analysts",349.203909457,353.295103345,366.13043331,12.8353299654,0.0363303364351,0.00348980171075,58.4694824003,"Bachelor's degree",None,None
13-1028,"Buyers and Purchasing Agents",345.550701552,344.269290453,337.927129457,-6.34216099603,-0.0184220933203,0.00345329303817,37.3532870525,"Bachelor's degree",None,"Moderate-term on-the-job training"
49-2091,"Avionics Technicians",345.059750363,350.425020406,371.065848065,20.6408276593,0.0589022656984,0.00344838667185,49.1496186161,"Associate's degree",None,None
33-9093,"Transportation Security Screeners",338.554597164,335.460426626,323.672621803,-11.7878048233,-0.0351391815179,0.00338337681902,31.9630235945,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-2021,"Air Traffic Controllers",337.982509787,339.582723063,345.523110029,5.94038696598,0.0174931955089,0.00337765961067,77.810039879,"Associate's degree",None,"Long-term on-the-job training"
37-3011,"Landscaping and Groundskeeping Workers",330.953036969,338.867123893,362.364986676,23.4978627826,0.0693424092391,0.00330740992101,21.1732620573,"No formal educational credential",None,"Short-term on-the-job training"
23-2011,"Paralegals and Legal Assistants",329.461366434,329.857795705,330.003833234,0.146037529395,0.000442728749469,0.00329250277293,37.3098481617,"Associate's degree",None,None
25-2032,"Career/Technical Education Teachers, Secondary School",325.954218503,329.717046501,338.700754478,8.98370797657,0.0272467197917,0.00325745376428,46.520143046,"Bachelor's degree","Less than 5 years",None
43-6011,"Executive Secretaries and Executive Administrative Assistants",324.573058193,326.441423401,329.733582335,3.29215893394,0.0100849913581,0.00324365101041,35.241658593,"High school diploma or equivalent","Less than 5 years",None
53-2012,"Commercial Pilots",320.988480249,326.22900513,346.373813448,20.1448083186,0.0617505126824,0.0032078281977,68.5985554003,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
47-2073,"Operating Engineers and Other Construction Equipment Operators",308.846587475,313.997844799,329.062003984,15.064159185,0.04797535854,0.00308648706427,40.2825615093,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3121,"Human Resources Managers",301.762251521,306.244744439,322.290514443,16.0457700035,0.0523952501876,0.00301568909477,82.9460615703,"Bachelor's degree","5 years or more",None
53-7065,"Stockers and Order Fillers",301.594220395,306.343949237,323.652000745,17.3080515084,0.0564987542648,0.0030140098601,19.7230687786,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-3032,"Heavy and Tractor-Trailer Truck Drivers",301.089173982,305.732657694,322.351752533,16.6190948392,0.0543582585014,0.00300896263185,32.6376538698,"Postsecondary nondegree award",None,"Short-term on-the-job training"
15-1212,"Information Security Analysts",299.968885056,305.253721294,325.018136903,19.7644156092,0.0647475009489,0.00299776692039,71.6182232717,"Bachelor's degree","Less than 5 years",None
13-1082,"Project Management Specialists",295.963157169,298.863517548,307.090346417,8.22682886989,0.0275270429037,0.00295773530662,54.4154343989,"Bachelor's degree",None,None
25-3099,"Teachers and Instructors, All Other",294.856850914,300.087567313,318.330892907,18.2433255936,0.0607933402805,0.00294667933227,37.8654893103,"Bachelor's degree",None,None
